
============================================================
worker start: evap=0.01 size=25 worker_id=0/2
============================================================
======================================================================
Ablation Study for CP-DCM-ACO
Parameters to test: evap
Puzzle sizes: 25x25
Repetitions per instance: 100
Total configurations: 1
Output directory: results\ablation
======================================================================

======================================================================
Puzzle size: 25x25
======================================================================

  Parameter: BVE (Evaporation Rate of BestPher) (evap)

[Config 1/1] evap=0.01 on 25x25
  [evap=0.01 [25x25]] (1/50) inst25x25_40_10.txt 
    Rep 17/100: OK (time=7.7063s)
    Rep 18/100: OK (time=4.5621s)
    Rep 19/100: OK (time=5.2879s)
    Rep 20/100: OK (time=4.3241s)
    Rep 21/100: OK (time=9.4278s)
    Rep 22/100: OK (time=17.7795s)
    Rep 23/100: OK (time=12.9146s)
    Rep 24/100: OK (time=11.2130s)
    Rep 25/100: OK (time=29.3249s)
    Rep 26/100: OK (time=0.4397s)
    Rep 27/100: OK (time=3.5765s)
    Rep 28/100: OK (time=1.0334s)
    Rep 29/100: OK (time=1.8871s)
    Rep 30/100: OK (time=20.5577s)
    Rep 31/100: OK (time=7.8429s)
    Rep 32/100: OK (time=7.9396s)
    Rep 33/100: OK (time=7.2429s)
    Rep 34/100: OK (time=5.0505s)
    Rep 35/100: OK (time=7.2249s)
    Rep 36/100: OK (time=3.1167s)
    Rep 37/100: OK (time=3.4834s)
    Rep 38/100: OK (time=0.3653s)
    Rep 39/100: OK (time=44.2514s)
    Rep 40/100: OK (time=3.8054s)
    Rep 41/100: OK (time=1.7881s)
    Rep 42/100: OK (time=6.8790s)
    Rep 43/100: OK (time=6.3001s)
    Rep 44/100: OK (time=32.3689s)
    Rep 45/100: OK (time=13.9877s)
    Rep 46/100: OK (time=9.5594s)
    Rep 47/100: OK (time=2.1693s)
    Rep 48/100: OK (time=4.1607s)
    Rep 49/100: OK (time=2.6057s)
    Rep 50/100: OK (time=14.4661s)
    Rep 51/100: OK (time=10.1218s)
    Rep 52/100: OK (time=2.4658s)
    Rep 53/100: OK (time=10.4919s)
    Rep 54/100: OK (time=16.1365s)
    Rep 55/100: OK (time=12.9500s)
    Rep 56/100: OK (time=2.0681s)
    Rep 57/100: OK (time=4.7998s)
    Rep 58/100: OK (time=4.2449s)
    Rep 59/100: OK (time=2.6794s)
    Rep 60/100: OK (time=13.6634s)
    Rep 61/100: OK (time=11.9279s)
    Rep 62/100: OK (time=11.9374s)
    Rep 63/100: OK (time=3.7076s)
    Rep 64/100: OK (time=10.7293s)
    Rep 65/100: OK (time=2.5819s)
    Rep 66/100: OK (time=1.8529s)
    Rep 67/100: OK (time=4.2605s)
    Rep 68/100: OK (time=11.9000s)
    Rep 69/100: OK (time=12.4623s)
    Rep 70/100: OK (time=11.2319s)
    Rep 71/100: OK (time=0.9565s)
    Rep 72/100: OK (time=15.8432s)
    Rep 73/100: OK (time=8.1573s)
    Rep 74/100: OK (time=6.0274s)
    Rep 75/100: OK (time=1.8227s)
    Rep 76/100: OK (time=3.5168s)
    Rep 77/100: OK (time=5.1257s)
    Rep 78/100: OK (time=3.4492s)
    Rep 79/100: OK (time=1.7623s)
    Rep 80/100: OK (time=2.4334s)
    Rep 81/100: OK (time=1.6807s)
    Rep 82/100: OK (time=7.6005s)
    Rep 83/100: OK (time=3.2648s)
    Rep 84/100: OK (time=3.0177s)
    Rep 85/100: OK (time=0.7040s)
    Rep 86/100: OK (time=1.9309s)
    Rep 87/100: OK (time=2.7029s)
    Rep 88/100: OK (time=9.3138s)
    Rep 89/100: OK (time=6.6851s)
    Rep 90/100: OK (time=17.2408s)
    Rep 91/100: OK (time=17.6621s)
    Rep 92/100: OK (time=6.8364s)
    Rep 93/100: OK (time=16.7858s)
    Rep 94/100: OK (time=8.3715s)
    Rep 95/100: OK (time=2.5139s)
    Rep 96/100: OK (time=2.1107s)
    Rep 97/100: OK (time=2.8699s)
    Rep 98/100: OK (time=13.8601s)
    Rep 99/100: OK (time=1.5133s)
    Rep 100/100: OK (time=2.3409s)
    => success%=100.0 time_mean=7.252486 cycles_mean=264.14
  [evap=0.01 [25x25]] (6/50) inst25x25_45_1.txt 
    Rep 1/100: OK (time=29.6798s)
    Rep 2/100: OK (time=46.3572s)
    Rep 3/100: OK (time=25.0408s)
    Rep 4/100: OK (time=28.1937s)
    Rep 5/100: OK (time=109.6920s)
    Rep 6/100: OK (time=13.3354s)
    Rep 7/100: OK (time=116.0900s)
    Rep 8/100: OK (time=2.7228s)
    Rep 9/100: OK (time=1.5125s)
    Rep 10/100: FAIL (time=120.0700s)
    Rep 11/100: OK (time=104.1620s)
    Rep 12/100: OK (time=24.4803s)
    Rep 13/100: FAIL (time=121.0440s)
    Rep 14/100: OK (time=13.3687s)
    Rep 15/100: OK (time=2.3907s)
    Rep 16/100: OK (time=74.1592s)
    Rep 17/100: OK (time=3.8630s)
    Rep 18/100: OK (time=11.0244s)
    Rep 19/100: OK (time=4.6945s)
    Rep 20/100: OK (time=13.3257s)
    Rep 21/100: OK (time=26.9249s)
    Rep 22/100: OK (time=3.1041s)
    Rep 23/100: OK (time=33.6701s)
    Rep 24/100: OK (time=2.2070s)
    Rep 25/100: OK (time=42.7146s)
    Rep 26/100: OK (time=70.5658s)
    Rep 27/100: OK (time=6.3334s)
    Rep 28/100: OK (time=6.7743s)
    Rep 29/100: OK (time=10.1497s)
    Rep 30/100: OK (time=6.5211s)
    Rep 31/100: FAIL (time=120.3350s)
    Rep 32/100: OK (time=44.4174s)
    Rep 33/100: OK (time=3.8516s)
    Rep 34/100: OK (time=23.6239s)
    Rep 35/100: OK (time=16.9070s)
    Rep 36/100: OK (time=83.3498s)
    Rep 37/100: OK (time=6.5149s)
    Rep 38/100: FAIL (time=121.8670s)
    Rep 39/100: OK (time=98.8189s)
    Rep 40/100: OK (time=13.7154s)
    Rep 41/100: OK (time=14.5583s)
    Rep 42/100: OK (time=56.3549s)
    Rep 43/100: OK (time=47.6738s)
    Rep 44/100: OK (time=48.0431s)
    Rep 45/100: OK (time=58.1081s)
    Rep 46/100: OK (time=67.3170s)
    Rep 47/100: OK (time=18.4114s)
    Rep 48/100: FAIL (time=120.5040s)
    Rep 49/100: OK (time=3.9240s)
    Rep 50/100: OK (time=24.1765s)
    Rep 51/100: OK (time=52.8921s)
    Rep 52/100: OK (time=57.7964s)
    Rep 53/100: OK (time=5.1169s)
    Rep 54/100: OK (time=6.8236s)
