
============================================================
worker start: convThresh=1.0 size=25 worker_id=0/2
============================================================
======================================================================
Ablation Study for CP-DCM-ACO
Parameters to test: convThresh
Puzzle sizes: 25x25
Repetitions per instance: 100
Total configurations: 1
Output directory: results\ablation
======================================================================

======================================================================
Puzzle size: 25x25
======================================================================

  Parameter: Convergence Threshold (convThresh)

[Config 1/1] convThresh=1 on 25x25
  [convThresh=1 [25x25]] (1/50) inst25x25_40_10.txt 
    Rep 22/100: OK (time=2.9245s)
    Rep 23/100: OK (time=4.7542s)
    Rep 24/100: OK (time=1.7844s)
    Rep 25/100: OK (time=3.1907s)
    Rep 26/100: OK (time=4.2202s)
    Rep 27/100: OK (time=1.6496s)
    Rep 28/100: OK (time=4.8107s)
    Rep 29/100: OK (time=1.2012s)
    Rep 30/100: OK (time=1.0753s)
    Rep 31/100: OK (time=4.4276s)
    Rep 32/100: OK (time=9.1276s)
    Rep 33/100: OK (time=1.8005s)
    Rep 34/100: OK (time=1.2380s)
    Rep 35/100: OK (time=1.0337s)
    Rep 36/100: OK (time=2.1800s)
    Rep 37/100: OK (time=0.2492s)
    Rep 38/100: OK (time=1.5771s)
    Rep 39/100: OK (time=2.3677s)
    Rep 40/100: OK (time=0.2916s)
    Rep 41/100: OK (time=2.0415s)
    Rep 42/100: OK (time=1.8764s)
    Rep 43/100: OK (time=3.1781s)
    Rep 44/100: OK (time=4.9333s)
    Rep 45/100: OK (time=4.0637s)
    Rep 46/100: OK (time=1.0955s)
    Rep 47/100: OK (time=0.9203s)
    Rep 48/100: OK (time=3.2784s)
    Rep 49/100: OK (time=3.2099s)
    Rep 50/100: OK (time=3.6530s)
    Rep 51/100: OK (time=3.0766s)
    Rep 52/100: OK (time=2.4696s)
    Rep 53/100: OK (time=3.7473s)
    Rep 54/100: OK (time=2.6389s)
    Rep 55/100: OK (time=2.3177s)
    Rep 56/100: OK (time=5.6959s)
    Rep 57/100: OK (time=4.2994s)
    Rep 58/100: OK (time=2.2883s)
    Rep 59/100: OK (time=2.9157s)
    Rep 60/100: OK (time=1.1876s)
    Rep 61/100: OK (time=1.8596s)
    Rep 62/100: OK (time=1.0693s)
    Rep 63/100: OK (time=2.4787s)
    Rep 64/100: OK (time=3.9257s)
    Rep 65/100: OK (time=4.6030s)
    Rep 66/100: OK (time=1.5260s)
    Rep 67/100: OK (time=2.4405s)
    Rep 68/100: OK (time=6.4874s)
    Rep 69/100: OK (time=2.0617s)
    Rep 70/100: OK (time=6.4359s)
    Rep 71/100: OK (time=8.2216s)
    Rep 72/100: OK (time=2.2715s)
    Rep 73/100: OK (time=2.1289s)
    Rep 74/100: OK (time=2.4096s)
    Rep 75/100: OK (time=1.0868s)
    Rep 76/100: OK (time=7.5684s)
    Rep 77/100: OK (time=1.0037s)
    Rep 78/100: OK (time=0.5068s)
    Rep 79/100: OK (time=3.9770s)
    Rep 80/100: OK (time=2.1914s)
    Rep 81/100: OK (time=2.7322s)
