
============================================================
worker start: entropyPct=97.125 size=25 worker_id=0/2
============================================================
======================================================================
Ablation Study for CP-DCM-ACO
Parameters to test: entropyPct
Puzzle sizes: 25x25
Repetitions per instance: 100
Total configurations: 1
Output directory: results\ablation
======================================================================

======================================================================
Puzzle size: 25x25
======================================================================

  Parameter: Entropy Threshold (% of Max Entropy) (entropyPct)

[Config 1/1] entropyPct=97.125 on 25x25
  [entropyPct=97.125 [25x25]] (1/50) inst25x25_40_10.txt 
    Rep 6/100: OK (time=3.5998s)
    Rep 7/100: OK (time=3.3743s)
    Rep 8/100: OK (time=0.4146s)
    Rep 9/100: OK (time=2.6050s)
    Rep 10/100: OK (time=1.4393s)
    Rep 11/100: OK (time=0.5370s)
    Rep 12/100: OK (time=4.2057s)
    Rep 13/100: OK (time=2.2572s)
    Rep 14/100: OK (time=3.2108s)
    Rep 15/100: OK (time=3.9141s)
    Rep 16/100: OK (time=2.7369s)
    Rep 17/100: OK (time=5.3061s)
    Rep 18/100: OK (time=1.0182s)
    Rep 19/100: OK (time=2.6987s)
    Rep 20/100: OK (time=7.5502s)
    Rep 21/100: OK (time=1.4989s)
    Rep 22/100: OK (time=2.2732s)
    Rep 23/100: OK (time=0.4606s)
    Rep 24/100: OK (time=4.3056s)
    Rep 25/100: OK (time=2.5066s)
    Rep 26/100: OK (time=0.4692s)
    Rep 27/100: OK (time=3.3145s)
    Rep 28/100: OK (time=5.9910s)
    Rep 29/100: OK (time=2.0973s)
    Rep 30/100: OK (time=1.9196s)
    Rep 31/100: OK (time=2.4722s)
    Rep 32/100: OK (time=3.0787s)
    Rep 33/100: OK (time=5.4962s)
    Rep 34/100: OK (time=5.8951s)
    Rep 35/100: OK (time=6.2511s)
    Rep 36/100: OK (time=4.2306s)
    Rep 37/100: OK (time=7.8999s)
    Rep 38/100: OK (time=5.0491s)
    Rep 39/100: OK (time=1.9864s)
    Rep 40/100: OK (time=0.6174s)
    Rep 41/100: OK (time=2.9010s)
    Rep 42/100: OK (time=3.4479s)
    Rep 43/100: OK (time=2.2552s)
    Rep 44/100: OK (time=2.0994s)
    Rep 45/100: OK (time=3.4680s)
    Rep 46/100: OK (time=1.7546s)
    Rep 47/100: OK (time=11.5021s)
    Rep 48/100: OK (time=6.3010s)
    Rep 49/100: OK (time=4.0237s)
    Rep 50/100: OK (time=3.5128s)
    Rep 51/100: OK (time=6.7413s)
    Rep 52/100: OK (time=1.3454s)
    Rep 53/100: OK (time=7.0449s)
    Rep 54/100: OK (time=3.3774s)
    Rep 55/100: OK (time=0.6782s)
    Rep 56/100: OK (time=2.4266s)
    Rep 57/100: OK (time=3.0510s)
    Rep 58/100: OK (time=1.4597s)
    Rep 59/100: OK (time=0.8804s)
    Rep 60/100: OK (time=0.5882s)
    Rep 61/100: OK (time=0.4142s)
    Rep 62/100: OK (time=2.4337s)
    Rep 63/100: OK (time=1.3641s)
    Rep 64/100: OK (time=2.2535s)
    Rep 65/100: OK (time=4.6443s)
    Rep 66/100: OK (time=2.1531s)
    Rep 67/100: OK (time=6.0660s)
    Rep 68/100: OK (time=5.2142s)
    Rep 69/100: OK (time=5.5014s)
    Rep 70/100: OK (time=2.9676s)
    Rep 71/100: OK (time=2.1241s)
    Rep 72/100: OK (time=5.5464s)
    Rep 73/100: OK (time=5.1406s)
    Rep 74/100: OK (time=2.0943s)
    Rep 75/100: OK (time=4.8268s)
    Rep 76/100: OK (time=3.2079s)
    Rep 77/100: OK (time=2.2260s)
    Rep 78/100: OK (time=4.1572s)
    Rep 79/100: OK (time=2.6193s)
    Rep 80/100: OK (time=3.6805s)
    Rep 81/100: OK (time=3.5566s)
    Rep 82/100: OK (time=1.8779s)
    Rep 83/100: OK (time=1.4357s)
    Rep 84/100: OK (time=3.3289s)
    Rep 85/100: OK (time=6.2543s)
    Rep 86/100: OK (time=6.0938s)
    Rep 87/100: OK (time=2.2481s)
    Rep 88/100: OK (time=2.8331s)
    Rep 89/100: OK (time=1.6594s)
    Rep 90/100: OK (time=3.3437s)
    Rep 91/100: OK (time=5.2676s)
    Rep 92/100: OK (time=1.3924s)
    Rep 93/100: OK (time=4.1956s)
    Rep 94/100: OK (time=13.9447s)
    Rep 95/100: OK (time=5.1218s)
    Rep 96/100: OK (time=1.9781s)
    Rep 97/100: OK (time=1.2105s)
    Rep 98/100: OK (time=4.3215s)
    Rep 99/100: OK (time=1.0777s)
    Rep 100/100: OK (time=8.7187s)
    => success%=100.0 time_mean=3.466275 cycles_mean=134.86
  [entropyPct=97.125 [25x25]] (5/50) inst25x25_40_9.txt 
    Rep 1/100: OK (time=20.0158s)
    Rep 2/100: OK (time=3.2425s)
    Rep 3/100: OK (time=2.6933s)
    Rep 4/100: OK (time=5.3577s)
    Rep 5/100: OK (time=3.5598s)
    Rep 6/100: OK (time=7.7162s)
    Rep 7/100: OK (time=2.4772s)
    Rep 8/100: OK (time=0.9697s)
    Rep 9/100: OK (time=5.0202s)
    Rep 10/100: OK (time=4.6064s)
    Rep 11/100: OK (time=9.7380s)
    Rep 12/100: OK (time=7.3130s)
    Rep 13/100: OK (time=14.4373s)
    Rep 14/100: OK (time=11.2041s)
    Rep 15/100: OK (time=0.8073s)
    Rep 16/100: OK (time=1.4536s)
    Rep 17/100: OK (time=11.7344s)
    Rep 18/100: OK (time=2.4310s)
    Rep 19/100: OK (time=3.8547s)
    Rep 20/100: OK (time=4.1745s)
    Rep 21/100: OK (time=1.1019s)
    Rep 22/100: OK (time=8.5879s)
    Rep 23/100: OK (time=1.9388s)
    Rep 24/100: OK (time=1.5514s)
    Rep 25/100: OK (time=14.8798s)
    Rep 26/100: OK (time=35.9579s)
    Rep 27/100: OK (time=3.3366s)
    Rep 28/100: OK (time=6.8132s)
    Rep 29/100: OK (time=2.9018s)
    Rep 30/100: OK (time=6.2100s)
    Rep 31/100: OK (time=5.6685s)
    Rep 32/100: OK (time=7.7400s)
    Rep 33/100: OK (time=2.6860s)
